 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

CREATE INDEX
   id    |                person                | bibtex |        orcid        | label | type 
---------+--------------------------------------+--------+---------------------+-------+------
   20002 | John Arkins                          |        |                     |       | 
   20147 | John Clore                           |        |                     |       | 
   20399 | Johne Marcus Jarske                  |        | 0000-0001-8907-6455 |       | 
   21380 | John Grundy 0001                     |        |                     |       | 
   22246 | John Tannahill                       |        |                     |       | 
   22630 | John W. Castro                       |        | 0000-0002-7938-7564 |       | 
   23141 | John O`Sullivan                      |        | 0000-0002-4136-0067 |       | 
   23748 | Johnathan Adams                      |        | 0000-0003-3318-622X |       | 
   23973 | John Magerko                         |        |                     |       | 
   23994 | John H. Booske                       |        |                     |       | 
   24854 | John Stephen Kayode                  |        | 0000-0001-6896-1076 |       | 
   24986 | Johnson Audu                         |        |                     |       | 
   25194 | John D. Enderle                      |        |                     |       | 
   25355 | John Grandin                         |        |                     |       | 
   25463 | John S. Baras                        |        |                     |       | 
   25570 | John J. Holmes                       |        |                     |       | 
   25637 | John Reader                          |        |                     |       | 
   25757 | John Karat                           |        |                     |       | 
   25877 | John Heywood                         |        |                     |       | 
   25931 | John Beaver                          |        |                     |       | 
   25966 | John Kim                             |        | 0000-0003-3958-3891 |       | 
   26034 | John P. McCrae                       |        |                     |       | 
   26051 | John G. Del Greco                    |        |                     |       | 
   26060 | John Lekner                          |        |                     |       | 
   26276 | John N. Sahalos                      |        |                     |       | 
   26312 | John C. McCarthy                     |        |                     |       | 
   26369 | John L. Volakis                      |        |                     |       | 
   26454 | John F. Elder IV                     |        |                     |       | 
   26711 | John T. Rickard                      |        |                     |       | 
   26827 | John D. Lowrance                     |        |                     |       | 
   26862 | John Roberts                         |        | 0000-0002-8662-584X |       | 
   26969 | John N. Mordeson                     |        |                     |       | 
   27152 | John Yen                             |        |                     |       | 
   27677 | John Harding                         |        |                     |       | 
   28112 | John Gtze                            |        |                     |       | 
   28330 | John Z. Elias                        |        |                     |       | 
   29011 | John W. Coffey                       |        |                     |       | 
   29034 | John C. Nesbit                       |        |                     |       | 
   29085 | John P. Hirdes                       |        | 0000-0001-9619-6543 |       | 
   29321 | John Mullins                         |        |                     |       | 
   30194 | John A. Skip Laitner                 |        |                     |       | 
   30641 | John Malone-Lee                      |        |                     |       | 
   30787 | John Ulmen                           |        |                     |       | 
   32134 | John ffitch                          |        |                     |       | 
   32293 | John E. McInroy                      |        |                     |       | 
   32531 | John Felix Charles Joseph            |        |                     |       | 
   32562 | John M. D. Hunter                    |        |                     |       | 
   32675 | John Ewen                            |        |                     |       | 
   32684 | John O`Loughlin                      |        |                     |       | 
   32701 | John Andrew Clark                    |        |                     |       | 
   32972 | John P. Morrison                     |        |                     |       | 
   32983 | John Panneerselvam                   |        |                     |       | 
   33162 | John Studarus                        |        |                     |       | 
   33270 | John S. Hughes                       |        |                     |       | 
   33301 | John F. Dooley                       |        |                     |       | 
   33356 | John Mark Bishop                     |        |                     |       | 
   33484 | John W. Steill                       |        |                     |       | 
   33640 | John Deck                            |        |                     |       | 
   33642 | John Wieczorek                       |        |                     |       | 
   34097 | John C. Knight                       |        |                     |       | 
   34139 | John Herbert                         |        |                     |       | 
   34243 | John Bambenek                        |        |                     |       | 
   34246 | John C. Mitchell                     |        |                     |       | 
   34345 | John Aycock                          |        |                     |       | 
   34379 | John Kei Smith                       |        |                     |       | 
   34490 | John S. Salerno                      |        |                     |       | 
   34512 | John P. Murphy                       |        |                     |       | 
   35025 | John Thuburn                         |        |                     |       | 
   35441 | John M. Carroll 0001                 |        | 0000-0001-5189-337X |       | 
   35506 | John Vines                           |        |                     |       | 
   35527 | John Soldatos 0001                   |        |                     |       | 
   35649 | John W. McDonough                    |        |                     |       | 
   35863 | John Haggerty                        |        |                     |       | 
   35926 | John Bohannon                        |        |                     |       | 
   36171 | John N. A. Brown                     |        |                     |       | 
   36176 | John A. Waterworth                   |        |                     |       | 
   36204 | John Williamson 0001                 |        |                     |       | 
   36269 | John Gardner                         |        |                     |       | 
   36318 | John O`Donovan                       |        |                     |       | 
   36335 | John Edison Muoz                     |        |                     |       | 
   36526 | John F. Pane                         |        |                     |       | 
   36781 | John Hunt                            |        |                     |       | 
   36785 | John A. Vince                        |        |                     |       | 
   36839 | John Vince                           |        |                     |       | 
   37118 | John R. Bracht                       |        | 0000-0001-8042-7685 |       | 
   37192 | John S. McCaskill                    |        |                     |       | 
   38035 | John Sample                          |        |                     |       | 
   38053 | John Trujillo                        |        |                     |       | 
   38347 | John Woods 0001                      |        |                     |       | 
   38350 | John Harrison 0001                   |        |                     |       | 
   38375 | John L. Bell                         |        |                     |       | 
   38395 | John Woods                           |        |                     |       | 
   38430 | John W. Burbidge                     |        |                     |       | 
   38442 | John Marenbon                        |        |                     |       | 
   38483 | John Hayden Woods                    |        |                     |       | 
   38517 | John Franco                          |        |                     |       | 
   38518 | John Martin                          |        |                     |       | 
   39672 | John Shawe-Taylor                    |        | 0000-0002-2030-0073 |       | 
   40022 | John A. Sweeney                      |        |                     |       | 
   40124 | John S. Erickson                     |        | 0000-0003-3078-4566 |       | 
   40369 | John R. Long                         |        |                     |       | 
   40400 | John P. Hayes                        |        |                     |       | 
   40678 | John C. Kunz                         |        |                     |       | 
   40796 | John Bruntse Larsen                  |        |                     |       | 
   41069 | John Sren Pettersson                 |        |                     |       | 
   41184 | John P. Fox 0001                     |        |                     |       | 
   41627 | John R. Clarke                       |        |                     |       | 
   41943 | John Moody                           |        |                     |       | 
   41953 | John Galloway                        |        |                     |       | 
   42006 | John Barnes                          |        |                     |       | 
   42081 | John Ronan                           |        | 0000-0002-0183-2517 |       | 
   42147 | John Boyland                         |        |                     |       | 
   42343 | John Atkinson 0001                   |        | 0000-0002-0049-7235 |       | 
   43036 | John McBreen                         |        |                     |       | 
   43067 | John S. Denker                       |        |                     |       | 
   43137 | John Hogg                            |        |                     |       | 
   43474 | John O`Connell                       |        |                     |       | 
   43564 | John Thangarajah                     |        | 0000-0002-7699-6444 |       | 
   43589 | John Fox 0001                        |        |                     |       | 
   43663 | John Krogstie                        |        |                     |       | 
   43724 | John Kjaer                           |        |                     |       | 
   43727 | John S. Murnane                      |        |                     |       | 
   43770 | John Lansdown                        |        |                     |       | 
   43787 | John Deane                           |        |                     |       | 
   43854 | John Bickle                          |        |                     |       | 
   43897 | John Symons                          |        |                     |       | 
   43931 | John R. Searle                       |        |                     |       | 
   44329 | John Fulcher                         |        |                     |       | 
   45011 | John T. Harvey                       |        |                     |       | 
   45211 | John Summers                         |        |                     |       | 
   45372 | John T. Jacobs                       |        |                     |       | 
   45433 | John E. Bronlund                     |        |                     |       | 
   45466 | John R. Lee                          |        |                     |       | 
   45509 | John Dragonas                        |        |                     |       | 
   45529 | John R. Lee 0001                     |        | 0000-0002-0914-2975 |       | 
   45831 | John H. Holmes                       |        |                     |       | 
   46317 | John A. Santini                      |        |                     |       | 
   46332 | John N. Lygouras                     |        |                     |       | 
   46349 | John W. Fisher                       |        |                     |       | 
   46725 | John Batubara                        |        |                     |       | 
   46936 | John Hallam                          |        |                     |       | 
   47269 | John Swanson                         |        |                     |       | 
   47372 | John D. Garofalakis                  |        |                     |       | 
   47586 | John Q. Gan                          |        |                     |       | 
   47975 | John Hearle                          |        |                     |       | 
   48707 | John Strassner                       |        |                     |       | 
   49657 | John Becker                          |        |                     |       | 
   49775 | John M. Morton                       |        |                     |       | 
   50369 | John North                           |        |                     |       | 
   51208 | John T. Langton                      |        |                     |       | 
   51444 | John A. Bullinaria                   |        |                     |       | 
   51495 | John A. Leong                        |        |                     |       | 
   51635 | John A. Ruiz-Hernandez               |        |                     |       | 
   51989 | John K. Debenham                     |        |                     |       | 
   52254 | John G. Taylor                       |        |                     |       | 
   52340 | John Michopoulos                     |        |                     |       | 
   52527 | John W. Stafford                     |        |                     |       | 
   52903 | John R. Koza                         |        |                     |       | 
   52971 | John Kinsella                        |        |                     |       | 
   53758 | John Crabtree                        |        |                     |       | 
   53889 | John W. Roberts                      |        |                     |       | 
   54331 | John Fowler                          |        |                     |       | 
   54392 | John Davey                           |        |                     |       | 
   54449 | John C. Dalrymple-Alford             |        |                     |       | 
   55010 | John Andrew Howe                     |        | 0000-0002-3553-1990 |       | 
   55450 | John Lawrence Nazareth               |        |                     |       | 
   55715 | John O. Long                         |        |                     |       | 
   55785 | John Davis                           |        |                     |       | 
   55951 | John Downey                          |        |                     |       | 
   56061 | John-Dylan Haynes                    |        |                     |       | 
   56619 | John Bryant                          |        |                     |       | 
   56870 | John Newsome Crossley                |        |                     |       | 
   56871 | John V. Guttag                       |        |                     |       | 
   56980 | John Ellingsgaard                    |        |                     |       | 
   57119 | John L. Crassidis                    |        |                     |       | 
   57236 | John D. Bustard                      |        |                     |       | 
   57391 | John P. Eakins                       |        |                     |       | 
   57760 | John D. Kececioglu                   |        |                     |       | 
   57842 | John M. Shea                         |        |                     |       | 
   57931 | John Rushby                          |        |                     |       | 
   58009 | John N. Stewart                      |        |                     |       | 
   58102 | John Alexander McDermid              |        |                     |       | 
   58135 | John Dubois                          |        |                     |       | 
   58166 | John Wickerson                       |        |                     |       | 
   58298 | John C. Tang                         |        |                     |       | 
   58312 | John A. Hughes                       |        |                     |       | 
   58355 | John V. H. Bonner                    |        |                     |       | 
   58377 | John Dobson                          |        |                     |       | 
   58404 | John Mariani                         |        |                     |       | 
   58424 | John Riedl                           |        |                     |       | 
   58640 | John B. McDonald                     |        |                     |       | 
   59010 | Johnathan York                       |        |                     |       | 
   59230 | John Goodenough 0001                 |        |                     |       | 
   59338 | John P. Eurich                       |        |                     |       | 
   59438 | John Wawrzynek                       |        |                     |       | 
   59454 | John M. Acken                        |        |                     |       | 
   59455 | John M. Borky                        |        |                     |       | 
   59542 | John Kibarian                        |        |                     |       | 
   59807 | John Duh                             |        |                     |       | 
   59997 | John Smith                           |        |                     |       | 
   60137 | John M. Ludden                       |        |                     |       | 
   60327 | John F. McDonald                     |        |                     |       | 
   60538 | John S. J. Chen                      |        |                     |       | 
   60640 | John B. Macdonald                    |        |                     |       | 
   60687 | John Kelsey                          |        |                     |       | 
   60716 | John S. Mayo                         |        |                     |       | 
   60735 | John M. Gould                        |        |                     |       | 
   60741 | John Grason                          |        |                     |       | 
   60758 | John A. Wisniewski                   |        |                     |       | 
   60810 | John S. Gero                         |        |                     |       | 
   60986 | John Sartori                         |        |                     |       | 
   60992 | John Paul Strachan                   |        |                     |       | 
   61020 | John L. Cuadrado                     |        |                     |       | 
   61056 | John Charles Wright                  |        |                     |       | 
   61122 | John P. Fishburn                     |        |                     |       | 
   61137 | John G. Maneatis                     |        |                     |       | 
   61462 | John O`Leary                         |        |                     |       | 
   61566 | John C. Lach                         |        |                     |       | 
   61687 | John Moondanos                       |        |                     |       | 
   61716 | John Sampson                         |        |                     |       | 
   61755 | John A. Waicukauski                  |        |                     |       | 
   61803 | John K. Ousterhout                   |        |                     |       | 
   61893 | John Magerlein                       |        |                     |       | 
   61924 | John A. Nestor                       |        |                     |       | 
   61983 | John Perkins                         |        |                     |       | 
   62238 | John C. Foster                       |        |                     |       | 
   62412 | Johnson Kin                          |        |                     |       | 
   62513 | John Fogelin                         |        |                     |       | 
   62569 | John A. Darringer                    |        |                     |       | 
   62708 | John P. Blanks                       |        |                     |       | 
   62738 | John L. Hennessy                     |        |                     |       | 
   62868 | John P. Knight                       |        |                     |       | 
   62963 | John Marty Emmert                    |        |                     |       | 
   62987 | John Chilton                         |        |                     |       | 
   63026 | John Shen                            |        |                     |       | 
   63264 | John D. Crawford                     |        |                     |       | 
   63272 | John R. Dixon                        |        |                     |       | 
   63337 | John Stivoric                        |        |                     |       | 
   63347 | John Giraldi                         |        |                     |       | 
   63440 | John Roder                           |        |                     |       | 
