 id |     person     | bibtex | orcid | label | type | relation_id |  role  | person_id |        publication_id         |              key              |     type      |   mdate    |   publtype   | reviewid | rating | cdate | address |             booktitle              |     pages     | year |                       journal                       |     volume     | number | month |                          url                          |                                            ee                                            | school | publisher | note | cdrom |       crossref        | isbn | chapter | publnr 
  5 | Kazuhiro Fukui |        |       |       |      |     9013664 | author |         5 | conf/iciap/MakiFOM01          | conf/iciap/MakiFOM01          | inproceedings | 2023-03-24 |              |          |        |       |         | ICIAP                              | 523-528       | 2001 |                                                     |                |        |       | db/conf/iciap/iciap2001.html#MakiFOM01                | https://doi.ieeecomputersociety.org/10.1109/ICIAP.2001.957063                            |        |           |      |       | conf/iciap/2001       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     9229001 | author |         5 | conf/fgr/YamaguchiFM98        | conf/fgr/YamaguchiFM98        | inproceedings | 2005-01-07 |              |          |        |       |         | FG                                 | 318-323       | 1998 |                                                     |                |        |       | db/conf/fgr/fg1998.html#YamaguchiFM98                 |                                                                                          |        |           |      |       | conf/fgr/1998         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     9230041 | author |         5 | conf/fgr/WakasugiNF04         | conf/fgr/WakasugiNF04         | inproceedings | 2023-03-24 |              |          |        |       |         | FGR                                | 415-420       | 2004 |                                                     |                |        |       | db/conf/fgr/fgr2004.html#WakasugiNF04                 | https://doi.ieeecomputersociety.org/10.1109/AFGR.2004.1301568                            |        |           |      |       | conf/fgr/2004         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    10823983 | author |         5 | conf/icpram/YamaguchiF22      | conf/icpram/YamaguchiF22      | inproceedings | 2022-03-16 |              |          |        |       |         | ICPRAM                             | 296-306       | 2022 |                                                     |                |        |       | db/conf/icpram/icpram2022.html#YamaguchiF22           | https://doi.org/10.5220/0010836500003122                                                 |        |           |      |       | conf/icpram/2022      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    10825226 | author |         5 | conf/icpram/YatakaF17         | conf/icpram/YatakaF17         | inproceedings | 2023-09-30 |              |          |        |       |         | ICPRAM                             | 208-216       | 2017 |                                                     |                |        |       | db/conf/icpram/icpram2017.html#YatakaF17              | https://doi.org/10.5220/0006204702080216                                                 |        |           |      |       | conf/icpram/2017      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    14748236 | author |         5 | journals/tnn/ZhuWSFX20        | journals/tnn/ZhuWSFX20        | article       | 2020-12-25 |              |          |        |       |         |                                    | 3866-3876     | 2020 | IEEE Trans. Neural Networks Learn. Syst.            | 31             | 10     |       | db/journals/tnn/tnn31.html#ZhuWSFX20                  | https://www.wikidata.org/entity/Q91270078                                                |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    17067019 | author |         5 | journals/mva/MakiF04          | journals/mva/MakiF04          | article       | 2017-05-17 |              |          |        |       |         |                                    | 149-155       | 2004 | Mach. Vis. Appl.                                    | 15             | 3      |       | db/journals/mva/mva15.html#MakiF04                    | https://doi.org/10.1007/s00138-004-0140-y                                                |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    17582123 | author |         5 | journals/ieiceta/YamakiFAK21  | journals/ieiceta/YamakiFAK21  | article       | 2021-05-17 |              |          |        |       |         |                                    | 671-679       | 2021 | IEICE Trans. Fundam. Electron. Commun. Comput. Sci. | 104-A          | 4      |       | db/journals/ieiceta/ieiceta104.html#YamakiFAK21       | http://search.ieice.org/bin/summary.php?id=e104-a_4_671                                  |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    19185408 | author |         5 | journals/pr/NosakaF14         | journals/pr/NosakaF14         | article       | 2020-02-24 |              |          |        |       |         |                                    | 2428-2436     | 2014 | Pattern Recognit.                                   | 47             | 7      |       | db/journals/pr/pr47.html#NosakaF14                    | https://doi.org/10.1016/j.patcog.2013.09.018                                             |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    19595064 | author |         5 | journals/access/MBF23         | journals/access/MBF23         | article       | 2023-09-29 |              |          |        |       |         |                                    | 102492-102507 | 2023 | IEEE Access                                         | 11             |        |       | db/journals/access/access11.html#MBF23                | https://doi.org/10.1109/ACCESS.2023.3313409                                              |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    21329388 | author |         5 | journals/scjapan/NakaiFK95    | journals/scjapan/NakaiFK95    | article       | 2023-09-13 |              |          |        |       |         |                                    | 97-109        | 1995 | Syst. Comput. Jpn.                                  | 26             | 10     |       | db/journals/scjapan/scjapan26.html#NakaiFK95          | https://doi.org/10.1002/scj.4690261010                                                   |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    21879798 | author |         5 | journals/eswa/GattoSKFJ21     | journals/eswa/GattoSKFJ21     | article       | 2022-01-03 |              |          |        |       |         |                                    | 114559        | 2021 | Expert Syst. Appl.                                  | 171            |        |       | db/journals/eswa/eswa171.html#GattoSKFJ21             | https://doi.org/10.1016/j.eswa.2020.114559                                               |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    22933215 | author |         5 | journals/isci/ZhuFX17         | journals/isci/ZhuFX17         | article       | 2018-08-07 |              |          |        |       |         |                                    | 1-14          | 2017 | Inf. Sci.                                           | 382-383        |        |       | db/journals/isci/isci382.html#ZhuFX17                 | https://doi.org/10.1016/j.ins.2016.12.001                                                |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    23649536 | author |         5 | journals/corr/abs-1805-12467  | journals/corr/abs-1805-12467  | article       | 2018-08-13 | informal     |          |        |       |         |                                    |               | 2018 | CoRR                                                | abs/1805.12467 |        |       | db/journals/corr/corr1805.html#abs-1805-12467         | http://arxiv.org/abs/1805.12467                                                          |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    24222311 | author |         5 | journals/corr/abs-1806-03125  | journals/corr/abs-1806-03125  | article       | 2018-08-13 | informal     |          |        |       |         |                                    |               | 2018 | CoRR                                                | abs/1806.03125 |        |       | db/journals/corr/corr1806.html#abs-1806-03125         | http://arxiv.org/abs/1806.03125                                                          |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    24557171 | author |         5 | journals/corr/abs-1910-13113  | journals/corr/abs-1910-13113  | article       | 2021-01-12 | informal     |          |        |       |         |                                    |               | 2019 | CoRR                                                | abs/1910.13113 |        |       | db/journals/corr/corr1910.html#abs-1910-13113         | http://arxiv.org/abs/1910.13113                                                          |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    24601568 | author |         5 | journals/corr/abs-1909-01954  | journals/corr/abs-1909-01954  | article       | 2020-01-13 | informal     |          |        |       |         |                                    |               | 2019 | CoRR                                                | abs/1909.01954 |        |       | db/journals/corr/corr1909.html#abs-1909-01954         | http://arxiv.org/abs/1909.01954                                                          |        |           |      |       |                       |      |         | 
